ax	ay	az
0.024032	-0.008763	-0.021576
0.023080	-0.008846	-0.020933
0.023878	-0.009091	-0.030109
0.022847	-0.008717	-0.012333
0.024846	-0.009617	-0.030499
0.023249	-0.008212	-0.017218
0.024323	-0.009731	-0.030148
0.023102	-0.009319	-0.012708
0.023902	-0.009264	-0.026082
0.024788	-0.009332	-0.029934
0.023564	-0.008974	-0.013026
0.024637	-0.009209	-0.026125
0.023863	-0.010189	-0.025778
0.024677	-0.008981	-0.017461
0.024169	-0.010123	-0.030546
0.024536	-0.009128	-0.017524
0.024883	-0.009634	-0.026261
0.024307	-0.009484	-0.021608
0.024834	-0.010032	-0.021716
0.024499	-0.010189	-0.026755
0.024897	-0.009194	-0.017278
0.025111	-0.009991	-0.026329
0.024560	-0.010549	-0.026372
0.025459	-0.009440	-0.017745
0.025170	-0.010055	-0.022323
0.025502	-0.009974	-0.030709
0.024709	-0.010411	-0.017554
0.025295	-0.010580	-0.022563
0.025787	-0.009438	-0.026440
0.025550	-0.011261	-0.026523
0.025019	-0.009374	-0.018094
0.026348	-0.011102	-0.026790
0.025319	-0.009901	-0.022543
0.026511	-0.010545	-0.021959
0.025098	-0.011104	-0.027115
0.025886	-0.010471	-0.022811
0.026375	-0.010352	-0.018076
0.025973	-0.011100	-0.026460
0.026943	-0.009927	-0.031761
0.025353	-0.011728	-0.014038
0.026455	-0.010462	-0.026729
0.026293	-0.011565	-0.027430
0.026361	-0.011018	-0.018378
0.026282	-0.010368	-0.027065
0.027611	-0.011265	-0.027451
0.026442	-0.011626	-0.017948
0.026622	-0.010667	-0.027802
0.026501	-0.011196	-0.023106
0.027084	-0.012108	-0.023084
0.027535	-0.011027	-0.027057
0.026604	-0.010891	-0.019332
0.027259	-0.012175	-0.026671
0.026574	-0.011811	-0.028065
0.028000	-0.010842	-0.019136
0.026875	-0.012186	-0.027660
0.028376	-0.011157	-0.022827
0.026881	-0.012174	-0.028272
0.026464	-0.012258	-0.014442
0.029067	-0.011431	-0.036331
0.027958	-0.012473	-0.019879
0.026643	-0.011431	-0.022899
0.028269	-0.012215	-0.023810
0.028312	-0.012540	-0.028352
0.027492	-0.012265	-0.023412
0.028689	-0.011454	-0.023337
0.028083	-0.013256	-0.028834
0.028248	-0.011799	-0.023451
0.028186	-0.012896	-0.024365
0.027956	-0.011938	-0.023233
0.029478	-0.013240	-0.028556
0.027306	-0.012601	-0.015470
0.029389	-0.012598	-0.032684
0.028352	-0.012409	-0.024207
0.029331	-0.013235	-0.028706
0.028445	-0.012815	-0.019224
0.029671	-0.012431	-0.029045
0.028133	-0.013198	-0.024640
0.028660	-0.014319	-0.023804
0.030571	-0.011887	-0.029052
0.028388	-0.013354	-0.024652
0.028617	-0.013957	-0.019728
0.030148	-0.013293	-0.033384
0.029353	-0.012961	-0.020075
0.029354	-0.013374	-0.025087
0.029577	-0.014116	-0.024484
0.029352	-0.012988	-0.028942
0.030507	-0.013888	-0.024829
0.029823	-0.013235	-0.024989
0.029477	-0.015033	-0.025156
0.030509	-0.013023	-0.029120
0.029059	-0.014028	-0.024718
0.030652	-0.013863	-0.021119
0.029946	-0.014737	-0.028840
0.030778	-0.013327	-0.030301
0.029873	-0.014831	-0.024619
0.030772	-0.014297	-0.021278
0.030202	-0.014620	-0.029245
0.030241	-0.014257	-0.021353
0.031576	-0.014197	-0.034131
0.029616	-0.014810	-0.020906
0.031096	-0.014585	-0.025628
0.031697	-0.014629	-0.029556
0.029683	-0.014472	-0.022191
0.032316	-0.015437	-0.029091
0.029545	-0.015096	-0.026030
0.031844	-0.014400	-0.025935
0.031954	-0.015639	-0.030110
0.030782	-0.014334	-0.021471
0.031281	-0.016186	-0.025879
0.030957	-0.014732	-0.030619
0.031777	-0.015511	-0.021682
0.031536	-0.015418	-0.030403
0.031800	-0.015378	-0.025504
0.032449	-0.015701	-0.031256
0.031132	-0.015775	-0.017539
0.032456	-0.015825	-0.034784
0.031013	-0.015405	-0.021885
0.032648	-0.016282	-0.026837
0.032040	-0.015202	-0.030740
0.032758	-0.017221	-0.026357
0.031208	-0.015177	-0.022269
0.032732	-0.017142	-0.031473
0.032342	-0.016225	-0.026025
0.032904	-0.015708	-0.031280
0.031362	-0.016716	-0.018656
0.034488	-0.015846	-0.035287
0.030883	-0.017500	-0.022127
0.034010	-0.016756	-0.027159
0.032123	-0.016075	-0.027499
0.033449	-0.017502	-0.031113
0.032423	-0.016619	-0.022523
0.034015	-0.016806	-0.027482
