wx	wy	wz
0.160980	0.309797	-0.094636
0.161305	0.309639	-0.094984
0.161615	0.309485	-0.095203
0.161942	0.309322	-0.095471
0.162262	0.309170	-0.095778
0.162590	0.308997	-0.096042
0.162902	0.308846	-0.096265
0.163229	0.308674	-0.096579
0.163552	0.308512	-0.096840
0.163881	0.308355	-0.097152
0.164195	0.308188	-0.097339
0.164540	0.308029	-0.097692
0.164849	0.307854	-0.097913
0.165189	0.307687	-0.098185
0.165510	0.307526	-0.098460
0.165845	0.307351	-0.098771
0.166169	0.307185	-0.098996
0.166509	0.307017	-0.099271
0.166825	0.306842	-0.099584
0.167167	0.306672	-0.099819
0.167495	0.306502	-0.100136
0.167839	0.306330	-0.100366
0.168173	0.306154	-0.100680
0.168501	0.305980	-0.100958
0.168836	0.305798	-0.101235
0.169171	0.305630	-0.101469
0.169511	0.305448	-0.101784
0.169853	0.305271	-0.102024
0.170183	0.305085	-0.102347
0.170530	0.304918	-0.102620
0.170868	0.304729	-0.102859
0.171207	0.304548	-0.103186
0.171553	0.304372	-0.103460
0.171895	0.304182	-0.103745
0.172232	0.303999	-0.103984
0.172583	0.303810	-0.104304
0.172923	0.303630	-0.104594
0.173263	0.303440	-0.104829
0.173610	0.303254	-0.105117
0.173973	0.303066	-0.105439
0.174303	0.302877	-0.105727
0.174655	0.302687	-0.105976
0.175007	0.302491	-0.106255
0.175354	0.302307	-0.106590
0.175702	0.302107	-0.106784
0.176060	0.301911	-0.107166
0.176402	0.301724	-0.107365
0.176759	0.301527	-0.107698
0.177108	0.301329	-0.107989
0.177462	0.301127	-0.108236
0.177827	0.300933	-0.108607
0.178179	0.300734	-0.108821
0.178531	0.300532	-0.109151
0.178890	0.300333	-0.109400
0.179241	0.300132	-0.109697
0.179596	0.299922	-0.109988
0.179971	0.299721	-0.110323
0.180317	0.299518	-0.110540
0.180680	0.299315	-0.110833
0.181048	0.299104	-0.111168
0.181400	0.298896	-0.111468
0.181761	0.298684	-0.111722
0.182132	0.298484	-0.112021
0.182500	0.298269	-0.112359
0.182837	0.298050	-0.112574
0.183234	0.297846	-0.112914
0.183578	0.297631	-0.113174
0.183959	0.297416	-0.113517
0.184313	0.297198	-0.113780
0.184691	0.296986	-0.114077
0.185049	0.296763	-0.114340
0.185427	0.296546	-0.114723
0.185796	0.296330	-0.114944
0.186151	0.296103	-0.115214
0.186541	0.295885	-0.115593
0.186910	0.295665	-0.115859
0.187276	0.295438	-0.116124
0.187655	0.295217	-0.116473
0.188027	0.294986	-0.116738
0.188393	0.294764	-0.117039
0.188772	0.294534	-0.117314
0.189153	0.294300	-0.117659
0.189530	0.294082	-0.117926
0.189903	0.293847	-0.118236
0.190281	0.293609	-0.118509
0.190659	0.293379	-0.118860
0.191037	0.293148	-0.119132
0.191411	0.292910	-0.119398
0.191808	0.292673	-0.119793
0.192180	0.292444	-0.120024
0.192559	0.292202	-0.120339
0.192940	0.291958	-0.120611
0.193329	0.291718	-0.120968
0.193710	0.291481	-0.121240
0.194092	0.291236	-0.121514
0.194469	0.290991	-0.121876
0.194872	0.290745	-0.122191
0.195251	0.290510	-0.122426
0.195634	0.290252	-0.122783
0.196024	0.290010	-0.123062
0.196415	0.289755	-0.123379
0.196804	0.289515	-0.123702
0.197186	0.289253	-0.123980
0.197577	0.289005	-0.124299
0.197968	0.288755	-0.124581
0.198358	0.288493	-0.124903
0.198762	0.288244	-0.125224
0.199139	0.287982	-0.125545
0.199532	0.287721	-0.125830
0.199944	0.287470	-0.126154
0.200312	0.287201	-0.126434
0.200726	0.286951	-0.126759
0.201114	0.286684	-0.127048
0.201517	0.286417	-0.127375
0.201899	0.286151	-0.127653
0.202308	0.285886	-0.128027
0.202708	0.285622	-0.128309
0.203092	0.285349	-0.128602
0.203499	0.285080	-0.128968
0.203912	0.284811	-0.129257
0.204293	0.284540	-0.129542
0.204704	0.284266	-0.129832
0.205095	0.283994	-0.130167
0.205512	0.283717	-0.130538
0.205907	0.283437	-0.130785
0.206305	0.283157	-0.131120
0.206707	0.282881	-0.131408
0.207117	0.282602	-0.131744
0.207516	0.282321	-0.132072
0.207926	0.282033	-0.132376
0.208336	0.281756	-0.132661
0.208739	0.281466	-0.133001
0.209147	0.281184	-0.133329
0.209555	0.280889	-0.133668
0.209956	0.280606	-0.133927
0.210375	0.280319	-0.134262
0.210774	0.280015	-0.134597
0.211183	0.279731	-0.134901
0.211605	0.279436	-0.135232
0.212003	0.279139	-0.135493
0.212421	0.278843	-0.135869
0.212838	0.278548	-0.136169
0.213249	0.278247	-0.136512
0.213655	0.277941	-0.136812
0.214066	0.277644	-0.137150
0.214482	0.277341	-0.137412
0.214902	0.277036	-0.137752
0.215306	0.276736	-0.138100
0.215736	0.276421	-0.138399
0.216143	0.276117	-0.138741
0.216560	0.275806	-0.139043
0.216976	0.275499	-0.139385
0.217384	0.275181	-0.139651
0.217819	0.274874	-0.140039
0.218227	0.274552	-0.140301
0.218653	0.274242	-0.140650
0.219069	0.273920	-0.140989
0.219492	0.273606	-0.141301
0.219908	0.273284	-0.141646
0.220336	0.272965	-0.141953
0.220747	0.272638	-0.142262
0.221162	0.272315	-0.142568
0.221599	0.271991	-0.142913
0.222023	0.271665	-0.143266
0.222434	0.271332	-0.143575
0.222857	0.271007	-0.143842
0.223295	0.270675	-0.144232
0.223714	0.270344	-0.144545
0.224127	0.270010	-0.144814
0.224559	0.269672	-0.145205
0.224992	0.269334	-0.145517
0.225402	0.269003	-0.145822
0.225847	0.268661	-0.146179
0.226265	0.268319	-0.146493
0.226698	0.267979	-0.146804
0.227117	0.267633	-0.147157
0.227547	0.267294	-0.147429
0.227976	0.266936	-0.147824
0.228406	0.266598	-0.148139
0.228836	0.266254	-0.148413
0.229252	0.265888	-0.148765
0.229703	0.265547	-0.149083
0.230130	0.265197	-0.149479
0.230547	0.264828	-0.149750
0.230995	0.264486	-0.150071
0.231423	0.264120	-0.150422
0.231834	0.263764	-0.150743
0.232286	0.263403	-0.151057
0.232718	0.263041	-0.151411
0.233145	0.262678	-0.151731
0.233578	0.262313	-0.152053
0.234012	0.261946	-0.152368
0.234447	0.261579	-0.152723
0.234890	0.261209	-0.153085
0.235301	0.260831	-0.153326
0.235758	0.260473	-0.153717
0.236188	0.260093	-0.154041
0.236618	0.259709	-0.154358
0.237061	0.259344	-0.154721
0.237489	0.258960	-0.155003
0.237933	0.258581	-0.155355
